,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,SCA,GCA,PassLive,PassLive,Sh,SoT,Dist,FK,PK,np:G-xG,Season,Team
6,2023-09-30,15:00,Matchweek 7,Sat,Away,W,4,0,Bournemouth,3.4,0.6,57,11193.0,Martin Ødegaard,4-3-3,Michael Salisbury,Match Report,,28.0,7.0,18.0,2.0,13.0,6.0,15.5,0.0,2,0.1,2023,Arsenal
7,2023-10-08,16:30,Matchweek 8,Sun,Home,W,1,0,Manchester City,0.4,0.5,49,60233.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,,23.0,2.0,14.0,2.0,12.0,2.0,19.2,0.0,0,0.6,2023,Arsenal
8,2023-10-21,17:30,Matchweek 9,Sat,Away,D,2,2,Chelsea,1.0,1.3,56,39723.0,Martin Ødegaard,4-3-3,Chris Kavanagh,Match Report,,21.0,2.0,11.0,2.0,13.0,3.0,14.3,0.0,0,1.0,2023,Arsenal
9,2023-10-28,15:00,Matchweek 10,Sat,Home,W,5,0,Sheffield Utd,2.8,0.0,67,60153.0,Bukayo Saka,4-3-3,Tim Robinson,Match Report,,24.0,9.0,16.0,3.0,12.0,6.0,17.0,0.0,1,2.0,2023,Arsenal
10,2023-11-04,17:30,Matchweek 11,Sat,Away,L,0,1,Newcastle Utd,0.6,1.0,58,52194.0,Jorginho,4-3-3,Stuart Attwell,Match Report,,24.0,0.0,19.0,0.0,14.0,1.0,20.7,0.0,0,-0.6,2023,Arsenal
11,2023-11-11,15:00,Matchweek 12,Sat,Home,W,3,1,Burnley,1.8,0.3,63,60232.0,Jorginho,4-3-3,Michael Oliver,Match Report,,27.0,5.0,19.0,2.0,16.0,6.0,13.8,0.0,0,1.2,2023,Arsenal
12,2023-11-25,17:30,Matchweek 13,Sat,Away,W,1,0,Brentford,1.6,1.1,63,17201.0,Martin Ødegaard,4-3-3,Tim Robinson,Match Report,,28.0,2.0,25.0,2.0,15.0,4.0,15.2,0.0,0,-0.6,2023,Arsenal
13,2023-12-02,15:00,Matchweek 14,Sat,Home,W,2,1,Wolves,2.8,0.7,57,60262.0,Martin Ødegaard,4-3-3,Peter Bankes,Match Report,,33.0,4.0,27.0,3.0,19.0,6.0,15.6,0.0,0,-0.8,2023,Arsenal
14,2023-12-05,20:15,Matchweek 15,Tue,Away,W,4,3,Luton Town,2.2,0.5,66,11031.0,Martin Ødegaard,4-3-3,Samuel Barrott,Match Report,,42.0,8.0,33.0,7.0,23.0,9.0,15.5,0.0,0,1.8,2023,Arsenal
15,2023-12-09,17:30,Matchweek 16,Sat,Away,L,0,1,Aston Villa,1.4,0.6,61,42000.0,Martin Ødegaard,4-3-3,Jarred Gillett,Match Report,,24.0,0.0,21.0,0.0,12.0,3.0,14.8,1.0,0,-1.4,2023,Arsenal
